,inputs,targets,language,language_code,annotation_type,user_id
1110,"Luxembourg mooy gëblag gan réew?
","Luxembourg mooy réewum Luxembourg.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1111,"Beqil ma mbind mii:
Yaangi dooga def lu tass sa kër nak , jëf ju njëkk Ja lépp ca yoon ngako tegoon.
Li des Moy Nga wax dëgg sa ñaareel yi ,ni lingay joxe mom Nga mana Tolloole , waaye la kaneen di jële faneen ba tax mu ëpp Lela sama yoon Nek ci ,ni Kër deeskoy yor ci dëg.
Ni Li Nga mujja def andutak maandu ni yaw ñaari soxna Nga yor ,sa aawo lamiy séq Aki doomam sa Yoon nekusi, Lila war ci ñaareel bi mola war ci aawo bi ,ludul mu jegël la cerëm","Mbind mi jub a ngi nii:
Yaa ngi doog a def lu tàs sa kër nag. Jëf ju njëkk ja lépp ca yoon nga ko tegoon.
Li des moo'y nga wàx dëgg sa ñaareel bi, ne li nga'y joxe, moom nga man a tollool, waaye la keneen di jële feneen ba tàx mu ëpp lale sama yoon nekku ci. Ne kër dees ko'y yor ci dëgg.
Ne li nga mujj a def àndut ak maandu. Ne yaw ñaar i soxna nga yor; sa aawo la mu'y séq ak i doomam sa yoon nekku si. Li la wàr ci ñaareel bi moo la wàr ci aawo bi, lu dul mu jégal la céram.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1112,"Jox ma péeteg waat yi ci kàddu gii: Ba mu matee sëkk te ñor xomm, [Muusaa] jox Na nu ko àtte ya ak xàm-xàm.","Waat yi nekk ci kàddu gii di ""Ba mu matee sëkk te ñor xomm, [Muusaa] jox Na nu ko àtte ya ak xàm-xàm."" ak séen i péete ñoo di:
Ba: SCONJ
mu: PRON
matee: ADJ
sëkk: ADV
te: CCONJ
ñor: ADJ
xomm: ADV
,: PUNCT
[: PUNCT
Muusaa: PROPN
]: PUNCT
jox: VERB
Na: AUX
nu: PRON
ko: PRON
àtte: NOUN
ya: DET
ak: CCONJ
xàm-xàm: NOUN
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1113,Kañ geén di tàmbli wax wolof degantaan?,Ñongi jàngg de,Wolof,wol,original-annotations,40bf9dff73a8546bdb708a6864a264284e6279b06630b30a46c27f5d20f3f168
1114,"Lan nekk ci meew bakteril yi di ko ray ba muy am xet gu wex ?	
",yaawur.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1115,Ci gan kembaar la réewum Kenya nekk?,Réewum Kenya mu ngi nekk ci kembaaru  Afrique.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1116,"Oslo mooy gëblag  man réew?
","Oslo mooy gëblag  réewum Norvège.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1117,Fann mooy gëblag réewum Panama?,Panama.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1118,"Djouba moy péeyu ban réw?
","Djouba moy péeyu réwum Soudan du Sud
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1119,Noo tuddee?,Comment t'appelles-tu?,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1120,"Ndàx mbind mii jub na?
Sa Jëmmi Boroom doŋŋ fiy des, moom miy boroom màgg gi ak teraanga.","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
Sa Jëmmi Boroom doŋŋ a fi'y des, moom mi'y boroom màgg gi ak teraanga.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1121,"Beqil ma mbind mii:
Nebedaay walla ci turu wolofam dëgg saab-saab, garab la gu bari ay ngëneel ci wàllu dund ndax witamin ak ferñeent yu bari yi ci nekk ak li mën a faj mbaa fàggu ci ay jangoro. Su ñu wesaare woon ngëneel yi nekk ci nebedaay ba ñépp jot ci, kon tey febaru xale yu bare dooti fi amati. Garab la itam guy raxas ndox mu yàqu ba mu dellu seetaat wecc!
Tey ji nebedaay da ñu koy jëfandikoo daanaka ci réewu tubaab ci wàllu indistri yépp: dalee ko ci lépp lu jëm ci wàllu taaru-yaram, jaar ci fa ñuy defare garab ak yeneen.
Garab la itam goo xam gu yomb ay mbir la, ndax daanak lajul ndox, fépp la mën a sax.","Mbind mi jub a ngi nii:
Nebedaay walla ci tur u wolofam dëgg saab-saab, garab la gu bàri ay ngëneel ci wàll u dund ndàx witamin ak ferñeent yu bàri yi ci nekk ak li man a fàj mbaa fàggu ci ay jàngoro.Su ñu wesaarewoon ngëneel yi nekk ci nebedaay ba ñépp jot ci, kon tay feebar u xale yu bàri dootu fi àmati.
Garab la ìtam gu'y raxas ndox mu yàqu ba mu dellu setaat wecc!
Tay ji nebedaay da ñu ko'y jëfandikoo daanaka ci réew u tubaab ci wàll u ĩdistri yépp: dàle ko ci lépp lu jëm ci wàll u taar-u-yaram, jaar ci fa ñu'y defaree garab ak yeneen.
Garab la ìtam gu yomb ay mbir; ndàx daanaka laajul ndox, fépp la man a sàx.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1122,"Fan moy péeyum réwum Bénin
",Péeyum réwum Bénin mu ngi tudu Porto-Novo,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1123,Làn moo'y jarag?,"Bu dee 'j' la sant (jarag j.) moo'y ki wopp, ñu di ko fàj.
Fa ñu ko'y fàjee, ab ràglu la.
Ka ko'y fàj, di ràglukat bi.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1124,"Fan moy péeyum réwum Lituanie
","Péeyum réwum Lituanie mu ngi tudu Vilnius
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1125,Yan réew ñooy làkk wolof ?!,"Senegaal , Móritani ak Gàmbi.",Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1126,"Waxtu/yi
",hour/s	,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1127,"Fan moy péeyum réwum Palestine
","Péeyum réwum Palestine mu ngi tudu Jérusalem-Est
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1128,"Ci ban kembaar la réwum Fidji nékk
",Réwum Fidji mu ngi nékk ci kembaar bi ñuy wakh Oceanie,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1129,"Tàng/sedd/tàng
",hot / cold / warm	,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1130,Kan moo génne woon Senegaal ci coupe du monde 2002 ?,Tirki.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1131,"Luanda moy péeyu ban réw?
","Luanda moy péeyu réwum Angola
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1132,"Ndàx mbind mii jub na?
Walla [seen niróolee ngi deme ni] waame wu tukkee asamaan ànd ak lëndëm ak i dënnu ak i melax, ñu saañ seeni nopp ak seeni waaroom ngir bañ a dégg kàddu ya ngir ragal dee;Yàlla Aji-peeg la yéefar ya.","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
Walla [séen niróolee ngi deme ni] waame wu tukke àsamaan ànd ak lëndam ak i dënnu ak i melax, ñu saañ séen i nopp ak séen i waaraam ngìr bañ a dégg kàddu ya ngìr ragal dee; Yàlla Ajipeeg la yéefar ya.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1133,Joxeel péeteg waat yi ci kàddu gii: Ày wi dàlandi na waaye nag...,"Waat yi nekk ci kàddu gii di ""Ày wi dàlandi na waaye nag..."" ak séen i péete ñoo di:
Ày: NOUN
wi: DET
dàlandi: VERB
na: AUX
waaye: CCONJ
nag: ADV...: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1134,"Beqil ma mbind mii:
Bu ñu dajeek way-gëm ña, ne: ""Gëm nanu"" ; waaye bu ñu wéetee ak seeni (Séytaane naaféq yi), ne: ""Nook yéen a ànd; nun danuy yejji [jullit ñi] rekk"".","Mbind mi jub a ngi nii:
Bu ñu dàjee'k waygëm ña, ne: ""Gëm na nu""; waaye bu ñu wéetee ak séen i (Séytaane naaféq yi), ne: ""Noo'k yéen a ànd; nun da nu'y yejji [jullit ñi] rekk"".",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1135,Bàn bis a topp ci altine?,Talaata a topp ci altine; moo'y ñaareel u bis bi ci ày-u-bis gi.,Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1136,Seex Ànta Jóob Walaf la daan wax am Wolof?,waalaf.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1137,"Fan mooy gëblag réewum Tunisie?
",Gëblag réewum Tunisie mu ngi tudd Tunis.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1138,Fann mooy péeyum réewum Qatar,Doha,Wolof,wol,original-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
1139,Làn mooy weer u biir?,"Weer u biir, ab diggante la buy tegtale fu nàwet toll.
",Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
1140,"Fan mooy gëblag réewum Hongrie?
","Gëblag réewum Hongrie mu ngi tudd Budapest.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1141,Jox ma péeteg waat yi ci kàddu gii: Ci loolu mu'y yëgal waaréew mi ak waabittim-réew ne moo ngi dund jëf jii ci ngor ak way-deŋŋ ci wéyal xeex u politig bii ngìr jox cér ay téemeer i ndaw u saa-senegaal yi ñu ray xàttit ci maaliforo.,"Waat yi nekk ci kàddu gii di ""Ci loolu mu'y yëgal waaréew mi ak waabittim-réew ne moo ngi dund jëf jii ci ngor ak way-deŋŋ ci wéyal xeex u politig bii ngìr jox cér ay téemeer i ndaw u saa-senegaal yi ñu ray xàttit ci maaliforo."" ak séen i péete ñoo di:
Ci: ADP
loolu: PRON
mu: PRON
'y: AUX
yëgal: VERB
waaréew: NOUN
mi: DET
ak: CCONJ
waabittim-réew: NOUN
ne: SCONJ
mu: PRON
a: AUX
ngi: AUX
dund: VERB
jëf: NOUN
jii: DET
ci: ADP
ngor: NOUN
ak: CCONJ
way-deŋŋ: NOUN
ci: ADP
wéyal: VERB
xeex: NOUN
u: ADP
politig: NOUN
bii: DET
ngìr: SCONJ
jox: VERB
cér: NOUN
ay: DET
téemeer: NOUN
i: ADP
ndaw: NOUN
u: ADP
saa-senegaal: NOUN
yi: PRON
ñu: PRON
ray: VERB
xàttit: ADV
ci: ADP
maaliforo: NOUN
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1142,Fann mooy péeyum réewum Pérou,Lima,Wolof,wol,original-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
1143,"Indil péeteg waat yi ci kàddu gii: Yenn saa yi nit def mbaa mu wàx lu ko neexut, waaye mbir a tàx.","Waat yi nekk ci kàddu gii di ""Yenn saa yi nit def mbaa mu wàx lu ko neexut, waaye mbir a tàx."" ak séen i péete ñoo di:
Yenn: DET
saa: NOUN
yi: DET
nit: NOUN
def: VERB
mbaa: CCONJ
mu: PRON
wàx: VERB
lu: PRON
ko: PRON
neexut: VERB
,: PUNCT
waaye: CCONJ
mbir: NOUN
a: PART
tàx: VERB
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1144,"Indil péeteg waat yi ci kàddu gii: Da di kày, lu soof Màki Sàll sàf na nu.","Waat yi nekk ci kàddu gii di ""Da di kày, lu soof Màki Sàll sàf na nu."" ak séen i péete ñoo di:
Da: AUX
di: AUX
kày: ADV
,: PUNCT
lu: PRON
soof: ADJ
Màki: PROPN
Sàll: PROPN
sàf: ADJ
na: AUX
nu: PRON
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1145,"Ci ban kembaar la réwum Indonésie nékk
",Réwum Indonésie mu ngi nékk ci kembaar bi ñuy wakh Asie,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1146,"Stockholm moy péeyu ban réw?
","Stockholm moy péeyu réwum Suède
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1147,"Fan moy péeyum réwum Fidji
","Péeyum réwum Fidji mu ngi tudu Suva
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1148,Jox ma péeteg waat yi ci kàddu gii: Fukk i bàrab i rënk ak juroom ñaar (17) lees yàqte ci yëngu yi àm ci réew mi.,"Waat yi nekk ci kàddu gii di ""Fukk i bàrab i rënk ak juroom ñaar (17) lees yàqte ci yëngu yi àm ci réew mi."" ak séen i péete ñoo di:
Fukk: NUM
i: ADP
bàrab: NOUN
i: ADP
rënk: NOUN
ak: CCONJ
juroom: NUM
ñaar: NUM
(: PUNCT
17: NUM
): PUNCT
lees: AUX
yàqte: VERB
ci: ADP
yëngu: NOUN
yi: PRON
àm: ADJ
ci: ADP
réew: NOUN
mi: DET
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1149,"Wellington mooy gëblag man réew?
","Wellington mooy gëblag réewum Nouvelle-Zélande.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1150,Indil péeteg waat yi ci kàddu gii: Cùuruur u Principal lànk ne du'ñ ko jox këyit wi'y firndeel loolu ndàx bëgg a yìir alkaati yi ko doon xorñoññal.,"Waat yi nekk ci kàddu gii di ""Cùuruur u Principal lànk ne du'ñ ko jox këyit wi'y firndeel loolu ndàx bëgg a yìir alkaati yi ko doon xorñoññal."" ak séen i péete ñoo di:
Cùuruur: NOUN
u: ADP
Principal: PROPN
lànk: VERB
ne: SCONJ
du: AUX
'ñ: PRON
ko: PRON
jox: VERB
këyit: NOUN
wi: PRON
'y: AUX
firndeel: VERB
loolu: PRON
ndàx: SCONJ
bëgg: VERB
a: PART
yìir: VERB
alkaati: NOUN
yi: PRON
ko: PRON
doon: AUX
xorñoññal: VERB
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1151,"Jubbantil mbind mii:
[Fàttalikuleen] ba leen ab Téere dikkalee, jóge ca Yàlla, di dëggal la ñu yor, - fekk lu jiitu loolu daan nañu ñaan noteel ci yéefar yi, - te ba la ñu xamoon [te daan ko séenu] egsee ca ñoom, dañu koo weddi. Rëbbum Yàlla dal na yéefar yi!","Mbind mi jub a ngi nii:
[Fàttlikuléen] ba léen ab Téere dikkalee, jóge ca Yàlla, di dëggal la ñu yor, - fekk lu jiitu loolu daan na ñu ñaan noteel ci yéefar yi, - te ba la ñu xàmoon [te daan ko séenu] egsee ca ñoom, da ñu koo weddi. Rëbbum Yàlla dàl na yéefar yi!",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1152,Kan moo njëkk a xalaat móolukaay ?,Gutenberg.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1153,"Fan mooy gëblag réewum Barbade ?
",Gëblag réewum Barbade mu ngi tuddu Bridgetown.,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
1154,Da maa bëgg a man bind,"Boo bëggee bind ci Wolof, li nga wàr jëkk a xàmme moo'y loy yi. Te ñoo'y : a, à, ã, b, c, d, e, é, ë, ẽ, f, g, h, i, ì, ĩ, j, k, l, m, n, ñ, ŋ, o, ó, õ, p, q, r, s, t, u, ù, ũ, w, x, y.
Loy wu nekk, da'y jëmmal am riir.
Waaye àm na riir yoo xàm ne 2 loy a ko'y indi : mb, nj, ng, nd. Niral: mbay, nday.
Maas yi ñoo'y : a, à, ã, e, é, ë, ẽ, i, ì, ĩ, o, ó, õ, u, ù, ũ. Yi ci des, di ay riiraale. é, ë, i, ó ak u, da ñoo dìis, ci riir.
Pollet moo'y ay loy yu ñu boole mu joxe am riir; riir ma man na a lëm solo, man na a ko bàñ a lëm.
Baat = ab/ay pollet te lëm solo
Pollet = am/ay riir yu ñu boole yu juraat menn riir
Riir = ab/ay loy

Loy yépp di na ñu seex ba mu des f. Ci baat u 'pollet', 'l' ji da fa seex. Ci 'aar', 'a' da fa seex.
X ju seex moo joxe q.
Maas yi bu ñu'y seex, ñaareel u loy wi du àm comboñ. Niki: ùu, ée, ìi, añs.

Kon ku màn a tudd loy yi, man a yër mbind. Da fa di rekk ne leeg-leeg, dégg ak bind wùute tuuti. Te 3 di na ko wàral:
- leng: loy yii di 'b', 'j' ak 'g', séen doole da'y wàññiku bu ñu mujjee baat. Moo tàx nga'y bind jóob, di dégg 'jóop'; bind toj, di dégg 'toc'; bind nag, di dégg 'nak'
- jégg: bu am riir dìisee ci pollet, man na a wàll pollet yi ci topp. Moo tàx jigeen lees di bind doonte 'jigéen' nga'y dégg; pollet u 'ji' bi moo dìis ba wàll 'géen'. Naka noo nu jëkkar lees di bind, doonte 'jëkkër' lees di gën a dégg; ba tay ìt taalibe moo jub; taalibé, déedet. Jégg àm na ci làkk yu bàri: 'assimilation' la tudd ci àngle.
- sàmmoonte ak cosaanal baat: dàllu ji jóge ci dàll ak dàllu ji jóge ci dàl bokku ñu'w tuddìin.

Àm na ay màndarga yu'y ñëw ci mbind te deesu léen tudd: ay doggamtal la ñu. Niki lomb (').
Lomb (') da'y màndargaal làre walla tàxañug waat gi'y àm ci wàx; da'y dox diggante ñaar i waat ngìr wane ne yaar i waat la'ñ yu bokkul; wàx boole léen ci dégg. Moo tàx :
- mu'y = mu di
- ñu'y = ñu di
- na'n lekk = na nu lekk
- yaw ak = yaa'k
- màn maa di = màn maa'y
- lépp a di baax = lépp a'y baax
- jàrul a sonn = jàr'l a sonn
Lomb bàri na làkk yu ko'y jëfandikoo; ràwati na yi niroo ay loy ak Wolof: farãse, àngle, italiyĩ, añs.

Àm na yeneen i doggamtal yu'y yombal walla neexal yërum mbind; ak a ëndi yenn yu'y àm ci wàx ak wàxìin. Niki:
- , = baar
- : = tomb i aajar
- ; = jastandiku
- ... = jimbe
- () = xala
- ! = rëdd-u-jalu
- ? = õs-u-laaj
- "" "" = njukkal
- . = tomb. Kàddu tomb la'y jeexe; te ìt loy wu rëy la'y tàmble.

Li nu'y dolli ngìr jeexal, moo'y rëdd u jokkale (-). Dees na ko doxale ci diggante ay waat ngìr tëgg ci benn baat. Baat ba ci juddoo ab baat u toggatle la. Niral : ày-u-bis, xel-yaar.

Lii nu indi, tënk na mbindum Wolof. Li ci des nag, ràwati na xóot-xóot yi ak sew-sew yi, jàng, mìin ak jege ñu dégg Wolof moo ko'y mottli. Xàm-xàm bi'y leeral mbind moo'y lëgg-lëgg.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1155,"Ci ban kembaar la réwum Finlande nékk
",Réwum Finlande mu ngi nékk ci kembaar bi ñuy wakh Europe,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1156,"Kingston moy péeyu ban réw?
","Kingston moy péeyu réwum Jamaïque
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1157,"Jubbantil mbind mii:
Bu ñu ne leen: ""Gëmleen ni nit ñi gëmee"", ñu tontu ne: ""Ndax danuy gëm ni dof yi di gëmee? "" Déedéet, ñoom ñooy diy dof, te xamuñu ko.","Mbind mi jub a ngi nii:
Bu ñu ne léen: ""Gëmléen ni nit ñi gëme"", ñu tontu ne: ""Ndàx da nu'y gëm ni dof yi di gëme?"" Déedet, ñoom ñoo di'y dof, te xàmu ñu ko.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1158,Ban bés moo topp ci gaawu ?,Dibéer mooy bés bi topp ci gaawu.,Wolof,wol,original-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
1159,"Fan mooy péeyum réewum Laos?
","Péeyum réewum Laos mu ngi tudu Vientiane.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
1160,"Beqil ma mbind mii:
[Fàttalikuleen], ba Nu joxee Muusaa Téere ba ak Àtte yay téqale [dëgg ak fen] ndax ngeen gindiku.","Mbind mi jub a ngi nii:
[Fàttlikuleen], ba Nu joxee Muusaa Téere ba ak Àtte ya'y téqale [dëgg ak fen] ndàx ngéen gindiku.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1161,"Ndàx man ngaa jubbanti mbind mii?
Liy firndeel loolu, mooy ba nasaraan bi xamee ne léegi mu ñakk réewi Afrik yi mu kolonise woon, fekk Alseeri ngiy xare ngir moom boppam, Wietnam duma Faraas Jemben-Fuu, Kamerun tàmbalee fippu, seneraal Degaulle da fa ne woon: “na ñu yolomal buum gi ba laa moo dóg”!","Waaw! Mi ngii:
Li'y firndeel loolu, moo'y ba nasaraan bi xàmee ne leegi mu ñàkk réew i Afrig yi mu kolonisewoon, fekk Alseeree ngi'y xare ngìr moom boppam, Wiyetnam duma Faraas Jen Ben Fu, Kamerun tàmble fippu, seneraal De Gaulle da fa newoon: ""na ñu yolomal buum gi ba la moo dog""!",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1162,Ci ban kembaar la réewum Kenya nekk ?,Réewum Kenya mu ngi nekk ci kembaar bi ñuy wax Afrig,Wolof,wol,re-annotations,e05bc2c31236eeb905a4d1aed2c252ff838a1f263593063ae075e4e4af2436eb
1163,"Ndàx man ngaa jubbanti mbind mii?
Ña weddi ca ñoñ-téere ya ak way-bokkaale ya yéenewuñuleen, yiw wu bari ba bawoo ca seen Boroom, wàcc ci yéen, te Yàlla dana jagale yërmaandeem ku ko soob. Yàlla mooy boroom ngëneel yu màgg yi.","Waaw! Mi ngii:
Ña weddi ca ñoñtéere ya ak waybokkaale ya yéenewu ñu léen, yiw wu bàri ba bawoo ca séen Boroom, wàcc ci yéen, te Yàlla da na jagale yërmandeem ku ko soob. Yàlla moo'y boroom ngëneel yu màgg yi.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1164,Jox ma péeteg waat yi ci kàddu gii: Ày wi dàlandi na waaye nag...,"Waat yi nekk ci kàddu gii di ""Ày wi dàlandi na waaye nag..."" ak séen i péete ñoo di:
Ày: NOUN
wi: DET
dàlandi: VERB
na: AUX
waaye: CCONJ
nag: ADV...: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1165,"Fan moy péeyum réwum Thaïlande
","Péeyum réwum Thaïlande mu ngi tudu Bangkok
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1166,"Ci gan kembaar la réewum Barbade nekk
",Réewum Barbade mu ngi nekk ci kembaar bi ñuy wax Amerique,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
1167,"Fan moy péeyum réwum Slovaquie
","Péeyum réwum Slovaquie mu ngi tudu Bratislava
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
1168,"Ndàx mbind mii jub na?
Ñoo di ña gëm la Ñu wàcce ci yaw ak la Nu wàcce woon mu jiitu woon te ñu amug wóolu ci dikkug Bis-pénc ba.","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
Ñoo di ña gëm la Ñu wàcce ci yaw ak la Nu wàccewoon mu jiituwoon te ñu àmug wóolu ci dikkug Bis-pénc ba.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1169,"Ndàx man ngaa jubbanti mbind mii?
Am na ca ñoo xam ne mënuñoo jàng, xamuñu téere ba lu dul ay fen yu nekk ay njort doŋŋ.","Waaw! Mi ngii:
Àm na ca ñoo xàm ne manu ñoo jàng, xàmu ñu téere ba lu dul ay fen yu nekk ay njort doŋŋ.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1170,Indil péeteg waat yi ci kàddu gii: Loolu la ka fa teewal Àfrig di Sidd xàmle.,"Waat yi nekk ci kàddu gii di ""Loolu la ka fa teewal Àfrig di Sidd xàmle."" ak séen i péete ñoo di:
Loolu: PRON
la: AUX
ka: PRON
fa: ADV
teewal: VERB
Àfrig: PROPN
di: ADP
Sidd: PROPN
xàmle: VERB
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1171,Kan moo dàq a bëre ci Senegaal (roi des arène) ?,Eumeu Sene,Wolof,wol,re-annotations,62a4f3a1be3800b59082b21403b55f1173fb8c74f752cd9d1adfabffd473cbee
1172,"Jox ma péeteg waat yi ci kàddu gii: Tanoor Jàmme bokk Pastef doonoon ndaw ca ndañtaali u Ndàr, yóbbu na'ñ ko Tàmbaakundaa.","Waat yi nekk ci kàddu gii di ""Tanoor Jàmme bokk Pastef doonoon ndaw ca ndañtaali u Ndàr, yóbbu na'ñ ko Tàmbaakundaa."" ak séen i péete ñoo di:
Tanoor: PROPN
Jàmme: PROPN
bokk: VERB
Pastef: PROPN
doonoon: VERB
ndaw: NOUN
ca: ADP
ndañtaali: NOUN
u: ADP
Ndàr: PROPN
,: PUNCT
yóbbu: VERB
na: AUX
'ñ: PRON
ko: PRON
Tàmbaakundaa: PROPN
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
